mode,config,dataset,label_pct,global_acc,f1_score,elapsed_s,relevance_mae,brier,div_corr,div_mae
mlhat,config_12,airlines,1,0.5961703842803358,0.5915007775282695,1311.596516,0.0072064205940934,0.3157958461046598,0.9663186321203316,0.0196145977011494
mlhat,config_12,CovtFD,1,0.7319520975428094,0.5153379418739491,4386.432549,0.0053525048919648,0.2516830809600023,0.7448320323885349,0.0111767816091953
binary_relevance,config_2,Electricity,5,0.7858367936450623,0.5159929190685891,54.853393,0.0456690395778307,0.2130813185467819,0.4808696224213119,0.2002594252873563
binary_relevance,config_2,Electricity,1,0.7502708070048745,0.4815054736963748,45.228262,0.1508833680675223,0.2593658248249719,0.479411949115588,0.2646131034482758
binary_relevance,config_2,AGR_g,5,0.8066666666666666,0.799546784341185,134.22081200000002,0.0329848878909409,0.2069135747958185,0.4118786310719806,0.2172548275862069
binary_relevance,config_2,AGR_g,1,0.7253434343434343,0.7090453499872851,91.384389,0.0986950173493661,0.2394264467333077,0.3423234011306143,0.3166662068965517
binary_relevance,config_2,AGR_a,5,0.8003131313131313,0.7994451207717828,136.977431,0.0299028861574591,0.2132741752219755,0.1863012438270358,0.2691213793103448
binary_relevance,config_2,AGR_a,1,0.673060606060606,0.6729620054566479,95.091914,0.1223240030954964,0.2566563221359114,0.0774538919264039,0.3313206896551724
binary_relevance,config_2,LED_a,5,0.659979797979798,0.6586248779653043,217.931961,0.0331026991922698,0.2545029176275,0.2482666239629576,0.0887701149425287
binary_relevance,config_2,LED_a,1,0.5203737373737374,0.5082029913677372,149.38655799999998,0.0552878904521488,0.2272539139974919,0.1629103785991769,0.1709413793103448
mlhat,config_12,CovtFD,5,0.8122159541526727,0.6841685819288762,5561.164023,0.0035309671253864,0.2039859839595555,0.8020964303660659,0.0073894252873563
binary_relevance,config_2,LED_g,5,0.6182323232323232,0.6157528511411197,212.980845,0.0265011482144574,0.2504913200529416,0.2219954592611775,0.0721420689655172
binary_relevance,config_2,LED_g,1,0.428,0.4198991989036493,150.425095,0.0878981245309805,0.2155700237383631,0.2547770543578319,0.1538419540229885
binary_relevance,config_2,RBF_m,5,0.8216969696969697,0.8052899312562263,154.559671,0.0306342183611936,0.2157659402618051,0.4310402225152063,0.1252379310344827
binary_relevance,config_2,RBF_m,1,0.7752424242424243,0.7580552750089923,137.466401,0.0465922331673484,0.2269772490163005,0.3876651115030192,0.1484657471264367
binary_relevance,config_2,RBF_f,5,0.776080808080808,0.7544628088524046,162.414828,0.0243252481021859,0.2189995667033487,0.365485751018027,0.09712
binary_relevance,config_2,RBF_f,1,0.752030303030303,0.72840758723466,137.413377,0.0434712083708895,0.23130040976853,0.2700877197372525,0.1499444827586206
binary_relevance,config_2,airlines,1,0.5978829197801565,0.5216165612457486,575.59369,0.044942023288076,0.2633108491475554,0.0649866766724996,0.1238450574712643
binary_relevance,config_2,airlines,5,0.6387757414331433,0.5988904820189562,850.877057,0.0131124047401179,0.2499233784272065,0.2023809207927938,0.1867966666666666
