target,label_pct,winner,loser,k_datasets,mean_gap,cohens_d,win_rate,breakdown_point,fail_magnitude,fail_consistency,fail_stability,fragile
global_acc,1,config_12,config_1,9,0.007754074074074074,0.3554980500861115,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,1,config_1,config_13,9,0.028419074074074062,1.2556663471354264,1.0,1.0,False,False,False,False
global_acc,1,config_1,config_2,9,0.005923703703703691,0.9582503292398471,0.7777777777777778,0.6666666666666666,False,False,False,False
global_acc,1,config_3,config_1,9,0.0037644444444444344,0.720514060136744,0.8888888888888888,0.6666666666666666,False,False,False,False
global_acc,1,config_4,config_1,9,0.007971851851851848,0.934356963251966,0.8888888888888888,0.8888888888888888,False,False,False,False
global_acc,1,config_1,config_5,9,0.030522962962962967,1.1665802158656016,1.0,1.0,False,False,False,False
global_acc,1,config_1,config_6,9,0.01586518518518519,3.1552538120389464,1.0,1.0,False,False,False,False
global_acc,1,config_1,config_7,9,0.028932592592592607,1.0361083162978542,1.0,1.0,False,False,False,False
global_acc,1,config_1,config_8,9,0.015455555555555544,0.7954122069930907,0.7777777777777778,0.6666666666666666,False,False,False,False
global_acc,1,config_1,config_9,9,0.008134814814814829,0.4456601854820256,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,1,config_1,config_base,9,0.01611185185185186,1.343296542385688,1.0,1.0,False,False,False,False
global_acc,1,config_11,config_10,9,0.00823777777777777,0.31229017989559105,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,1,config_12,config_10,9,0.011731111111111093,0.4029486140118099,0.6666666666666666,0.2222222222222222,False,False,False,False
global_acc,1,config_10,config_13,9,0.024442037037037043,1.3612184542980108,1.0,1.0,False,False,False,False
global_acc,1,config_10,config_2,9,0.0019466666666666705,0.11773070925971546,0.7777777777777778,0.1111111111111111,True,False,True,True
global_acc,1,config_3,config_10,9,0.007741481481481454,0.5402312040213717,0.7777777777777778,0.3333333333333333,False,False,False,False
global_acc,1,config_4,config_10,9,0.011948888888888867,0.6698566346957017,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,1,config_10,config_5,9,0.02654592592592595,1.2157873954855596,1.0,1.0,False,False,False,False
global_acc,1,config_10,config_6,9,0.011888148148148172,0.739739816102778,0.8888888888888888,0.5555555555555556,False,False,False,False
global_acc,1,config_10,config_7,9,0.02495555555555559,1.1458746700753883,1.0,1.0,False,False,False,False
global_acc,1,config_10,config_8,9,0.011478518518518523,0.48953847880378,0.6666666666666666,0.3333333333333333,False,False,False,False
