target,label_pct,winner,loser,k_datasets,mean_gap,cohens_d,win_rate,breakdown_point,fail_magnitude,fail_consistency,fail_stability,fragile
global_acc,5,config_1,config_5,9,0.016555555555555546,0.9480534057971157,0.8888888888888888,0.6666666666666666,False,False,False,False
global_acc,5,config_1,config_6,9,0.012955555555555522,1.1733002524967262,1.0,1.0,False,False,False,False
global_acc,5,config_1,config_7,9,0.015111111111111075,1.031989520364781,0.8888888888888888,0.6666666666666666,False,False,False,False
global_acc,5,config_1,config_8,9,0.014544444444444422,1.0343595561983983,0.8888888888888888,0.7777777777777778,False,False,False,False
global_acc,5,config_9,config_1,9,4.444444444447656e-05,0.002005667436683088,0.5555555555555556,0.1111111111111111,True,True,True,True
global_acc,5,config_1,config_base,9,0.008111111111111093,0.6882389003930464,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,5,config_11,config_10,9,0.004955555555555578,0.17425495162648477,0.3333333333333333,0.1111111111111111,True,True,True,True
global_acc,5,config_12,config_10,9,0.011555555555555553,0.38078136432929194,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,5,config_10,config_13,9,0.01546666666666664,0.671974890501342,0.7777777777777778,0.4444444444444444,False,False,False,False
global_acc,5,config_2,config_10,9,0.009466666666666672,0.4662633062484399,0.6666666666666666,0.3333333333333333,False,False,False,False
global_acc,5,config_3,config_10,9,0.002722222222222243,0.10476853095833445,0.3333333333333333,0.1111111111111111,True,True,True,True
global_acc,5,config_4,config_10,9,0.007933333333333348,0.31261166686014236,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,5,config_10,config_5,9,0.017377777777777777,0.7225784391455239,0.6666666666666666,0.4444444444444444,False,False,False,False
global_acc,5,config_10,config_6,9,0.013777777777777753,0.43246671926609465,0.7777777777777778,0.3333333333333333,False,False,False,False
global_acc,5,config_10,config_7,9,0.015933333333333306,0.6915454544643457,0.6666666666666666,0.4444444444444444,False,False,False,False
global_acc,5,config_10,config_8,9,0.015366666666666652,0.47471019361914796,0.7777777777777778,0.4444444444444444,False,False,False,False
