table,target,label_pct,feature,coef_pp,ci_lo,ci_hi,p_value,fanova_importance,ols_r2
table4_everything,f1_score,5,tr_acc,-0.36909288194444356,-1.9859005822903035,1.2477148184014166,0.6518911263930453,0.058497341660118884,0.8282066384920265
table4_everything,f1_score,1,inf_margin,5.151993055555466,3.0722393205868848,7.231746790524047,3.1711433884865136e-06,0.4152334645352682,0.8985656001204996
table4_everything,f1_score,1,inf_acc,1.172881944444526,-0.9068717905240562,3.252635679413108,0.26618961087619475,0.15396258707360275,0.8985656001204996
table4_everything,f1_score,1,inf_div,0.3193975694444404,-1.7733142580875305,2.4121093969764114,0.7628870816260113,0.010085649636681354,0.8985656001204996
table4_everything,f1_score,1,tr_margin,-1.1546267361111298,-3.141308701922628,0.8320552297003685,0.2519378684704502,0.09854415264845963,0.8985656001204996
table4_everything,f1_score,1,tr_disagree,1.483873263888876,-0.50280870192262,3.470555229700372,0.14169191054351127,0.2838422566552976,0.8985656001204996
table4_everything,f1_score,1,tr_acc,-0.7403315972222317,-2.495845799288819,1.0151826048443553,0.40514028907561156,0.03833188881429488,0.8985656001204996
table5_inference,global_acc,5,inf_margin,0.4684444444444189,-0.0036472484714624165,0.9405361373603003,0.05169427341367458,0.4268616724018464,0.9936173699785508
table5_inference,global_acc,5,inf_acc,0.6279999999999917,0.1559083070841103,1.100091692915873,0.010683217818867595,0.44400824783257486,0.9936173699785508
table5_inference,global_acc,5,inf_div,0.26922222222224235,-0.3552963855152056,0.8937408299596903,0.38679762765127507,0.12913007901786286,0.9936173699785508
table5_inference,global_acc,1,inf_margin,1.3387777777777616,0.82799643753432,1.8495591180212032,6.914329029466645e-06,0.752099752934626,0.9954438468110574
table5_inference,global_acc,1,inf_acc,0.6483333333333283,0.13755199308988664,1.1591146735767701,0.014436266026373058,0.19516630007625085,0.9954438468110574
table5_inference,global_acc,1,inf_div,0.2586111111111356,-0.41708908919707194,0.9343113114193431,0.44172150680225475,0.05273394632585113,0.9954438468110574
table5_inference,f1_score,5,inf_margin,2.8443333333333074,0.2612632993481303,5.427403367318485,0.031923259316249265,0.5205836695316884,0.8312104431820476
table5_inference,f1_score,5,inf_acc,-0.10033333333334477,-2.6834033673185225,2.4827367006518326,0.9374892130826665,0.40292502550841636,0.8312104431820476
table5_inference,f1_score,5,inf_div,0.7680555555555817,-2.6490249089383893,4.185136020049553,0.6504540043066018,0.0764913042648703,0.8312104431820476
table5_inference,f1_score,1,inf_margin,5.050333333333319,2.1344592053709723,7.966207461295666,0.0012701261428966356,0.7047502752846185,0.8941416862037098
table5_inference,f1_score,1,inf_acc,1.0712222222221968,-1.8446519057401503,3.987096350184544,0.46009587499976295,0.2588006006172426,0.8941416862037098
table5_inference,f1_score,1,inf_div,0.3065000000000184,-3.5508388984778327,4.16383889847787,0.8725590260869889,0.036449123444635655,0.8941416862037098
table6_training,global_acc,5,tr_margin,-0.2852222222222134,-0.7565156129848217,0.18607116854039496,0.22877506569666814,0.1456262114494973,0.9935409450476594
table6_training,global_acc,5,tr_disagree,-0.2410000000000081,-0.7122933907626163,0.2302933907626002,0.30799518495596345,0.5552546577801727,0.9935409450476594
table6_training,global_acc,5,tr_acc,0.017037037036973235,-0.36777240513453147,0.40184647920847794,0.9292296945332831,0.2991191300977839,0.9935409450476594
table6_training,global_acc,1,tr_margin,-0.7541111111111087,-1.903559929564851,0.3953377073426336,0.19266750169868566,0.13912010886486093,0.9797229880316417
table6_training,global_acc,1,tr_disagree,0.6015555555555463,-0.5478932628981958,1.7510043740092884,0.29693796106030795,0.6988316072702565,0.9797229880316417
table6_training,global_acc,1,tr_acc,-0.37162962962968193,-1.3101506598485777,0.5668914005892137,0.4287243572286535,0.16204828316572578,0.9797229880316417
table6_training,f1_score,5,tr_margin,-0.8489999999999889,-2.590737484682287,0.8927374846823093,0.3308949226603272,0.1653410699471677,0.9296565990517509
table6_training,f1_score,5,tr_disagree,0.5247777777777785,-1.2169597069045193,2.266515262460076,0.5464357251687442,0.50294860224166,0.9296565990517509
table6_training,f1_score,5,tr_acc,-0.561925925925983,-1.9840486270427378,0.8601967751907718,0.42969920650000465,0.33171032717212146,0.9296565990517509
table6_training,f1_score,1,tr_margin,-0.955555555555545,-2.6219392935683574,0.7108281824572675,0.2537176817795749,0.10723338113695614,0.9677744531615539
table6_training,f1_score,1,tr_disagree,2.321333333333334,0.6549495953205218,3.987717071346146,0.0074672279460197555,0.7715143949675849,0.9677744531615539
table6_training,f1_score,1,tr_acc,-0.34014814814820404,-1.7007447727492297,1.0204484764528217,0.6165335796944497,0.12125222319670212,0.9677744531615539
