table,target,label_pct,feature,coef_pp,ci_lo,ci_hi,p_value,fanova_importance,ols_r2
table6_training,global_acc,5,tr_margin,-0.4564444444443927,-1.1356810044962387,0.22279211560745327,0.18202609606927675,0.1456262114494973,0.993630262203209
table6_training,global_acc,5,tr_disagree,-0.3686666666666695,-1.0479032267185153,0.3105698933851765,0.2792140843585052,0.5552546577801727,0.993630262203209
table6_training,global_acc,5,tr_acc,-0.18222222222222673,-0.8614587822740731,0.4970143378296197,0.5906859956089129,0.2991191300977839,0.993630262203209
table6_training,global_acc,1,tr_margin,-1.3266666666666183,-2.9695794082672036,0.31624607493396706,0.11052094475991778,0.13912010886486093,0.9803326048369134
table6_training,global_acc,1,tr_disagree,0.06755555555555692,-1.5753571860450284,1.7104682971561422,0.9341822622831257,0.6988316072702565,0.9803326048369134
table6_training,global_acc,1,tr_acc,-1.1093333333333195,-2.7522460749339057,0.5335794082672667,0.1799825775509751,0.16204828316572578,0.9803326048369134
table6_training,f1_score,5,tr_margin,-1.7971111111110503,-4.22463723216009,0.6304150099379893,0.14244729928761746,0.1653410699471677,0.9351247633325895
table6_training,f1_score,5,tr_disagree,-1.0215555555555635,-3.449081676604603,1.405970565493476,0.40010295467948237,0.50294860224166,0.9351247633325895
table6_training,f1_score,5,tr_acc,-2.2248888888888834,-4.652415009937925,0.20263723216015794,0.07136272983956046,0.33171032717212146,0.9351247633325895
table6_training,f1_score,1,tr_margin,-1.8259999999999383,-4.204644719732104,0.5526447197322275,0.12865728777210558,0.10723338113695614,0.9688252783500615
table6_training,f1_score,1,tr_disagree,1.5226666666666482,-0.8559780530655177,3.901311386398814,0.203165136527331,0.7715143949675849,0.9688252783500615
table6_training,f1_score,1,tr_acc,-1.4528888888888805,-3.8315336086210476,0.9257558308432867,0.22422605923276573,0.12125222319670212,0.9688252783500615
