dataset,config,label_pct,diversity_measure,seed,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,error,inference_mode,training_mode,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_pool_updates,lbd_gap_pre_mean,lbd_conf_pre_mean
RBF_f,config_2,5,disagreement,42,False,False,False,mlhat_A,0.7824,0.7599,4,99000,263.8,,mlhat_A,none,,,,,,,
RBF_f,config_2,1,disagreement,42,False,False,False,mlhat_A,0.7434,0.7189,3,99000,214.5,,mlhat_A,none,,,,,,,
RBF_f,config_3,5,disagreement,42,False,False,False,sqrtAM,0.7761,0.755,3,99000,269.7,,sqrtAM,none,,,,,,,
RBF_f,config_3,1,disagreement,42,False,False,False,sqrtAM,0.7504,0.7281,3,99000,216.7,,sqrtAM,none,,,,,,,
RBF_f,config_4,5,disagreement,42,True,False,False,mmr,0.7753,0.7527,3,99000,293.0,,mmr,none,,,,,,,
RBF_f,config_4,1,disagreement,42,True,False,False,mmr,0.7533,0.7296,3,99000,237.4,,mmr,none,,,,,,,
airlines,config_1,5,disagreement,42,False,False,False,margin,0.6262,0.6125,4,538383,2264.9,,margin,none,,,,,,,
airlines,config_1,1,disagreement,42,False,False,False,margin,0.6048,0.5863,0,538383,1369.1,,margin,none,,,,,,,
airlines,config_2,5,disagreement,42,False,False,False,mlhat_A,0.6331,0.5928,6,538383,1666.1,,mlhat_A,none,,,,,,,
airlines,config_2,1,disagreement,42,False,False,False,mlhat_A,0.5928,0.5187,0,538383,1331.6,,mlhat_A,none,,,,,,,
airlines,config_4,5,disagreement,42,True,False,False,mmr,0.6292,0.6174,2,538383,843.9,,mmr,none,,,,,,,
airlines,config_4,1,disagreement,42,True,False,False,mmr,0.6058,0.5877,0,538383,622.0,,mmr,none,,,,,,,
CovtFD,config_1,1,disagreement,42,False,False,False,margin,0.7109,0.459,2,580012,3463.1,,margin,none,,,,,,,
CovtFD,config_1,5,disagreement,42,False,False,False,margin,0.7998,0.6498,21,580012,3936.0,,margin,none,,,,,,,
CovtFD,config_2,1,disagreement,42,False,False,False,mlhat_A,0.7076,0.4634,2,580012,3603.7,,mlhat_A,none,,,,,,,
CovtFD,config_2,5,disagreement,42,False,False,False,mlhat_A,0.7973,0.6473,18,580012,4427.1,,mlhat_A,none,,,,,,,
CovtFD,config_4,1,disagreement,42,True,False,False,mmr,0.7213,0.4843,2,580012,3818.8,,mmr,none,,,,,,,
CovtFD,config_4,5,disagreement,42,True,False,False,mmr,0.8052,0.6651,13,580012,5170.4,,mmr,none,,,,,,,
Electricity,config_base,1,disagreement,42,False,False,False,none,0.7541,0.4846,0,44312,140.2,,none,none,,,,,,,
Electricity,config_base,5,disagreement,42,False,False,False,none,0.7874,0.5166,0,44312,163.7,,none,none,,,,,,,
AGR_g,config_base,1,disagreement,42,False,False,False,none,0.6859,0.6284,2,99000,274.4,,none,none,,,,,,,
AGR_g,config_base,5,disagreement,42,False,False,False,none,0.753,0.7392,7,99000,367.0,,none,none,,,,,,,
AGR_a,config_base,5,disagreement,42,False,False,False,none,0.7407,0.7407,5,99000,323.9,,none,none,,,,,,,
AGR_a,config_base,1,disagreement,42,False,False,False,none,0.6422,0.6388,0,99000,283.8,,none,none,,,,,,,
LED_a,config_base,1,disagreement,42,False,False,False,none,0.5007,0.4816,0,99000,299.5,,none,none,,,,,,,
LED_a,config_base,5,disagreement,42,False,False,False,none,0.6488,0.6476,2,99000,382.8,,none,none,,,,,,,
LED_g,config_base,1,disagreement,42,False,False,False,none,0.4221,0.4047,0,99000,281.8,,none,none,,,,,,,
LED_g,config_base,5,disagreement,42,False,False,False,none,0.6052,0.6012,1,99000,358.6,,none,none,,,,,,,
RBF_m,config_base,1,disagreement,42,False,False,False,none,0.7728,0.7521,4,99000,209.7,,none,none,,,,,,,
RBF_m,config_base,5,disagreement,42,False,False,False,none,0.8249,0.8066,5,99000,263.1,,none,none,,,,,,,
RBF_f,config_base,1,disagreement,42,False,False,False,none,0.7524,0.7287,3,99000,210.1,,none,none,,,,,,,
RBF_f,config_base,5,disagreement,42,False,False,False,none,0.7799,0.7587,3,99000,264.4,,none,none,,,,,,,
airlines,config_base,1,disagreement,42,False,False,False,none,0.589,0.5018,0,538383,1123.1,,none,none,,,,,,,
airlines,config_base,5,disagreement,42,False,False,False,none,0.6423,0.6044,3,538383,1692.0,,none,none,,,,,,,
CovtFD,config_base,1,disagreement,42,False,False,False,none,0.6933,0.4086,3,580012,4624.6,,none,none,,,,,,,
CovtFD,config_base,5,disagreement,42,False,False,False,none,0.7807,0.6184,18,580012,6053.2,,none,none,,,,,,,
NOAA,config_5,5,disagreement,42,False,True,False,none,0.7459,0.6641,1,17159,41.5,,none,self_train_M,,,,,,,
NOAA,config_5,1,disagreement,42,False,True,False,none,0.7429,0.6538,1,17159,40.9,,none,self_train_M,,,,,,,
Electricity,config_5,5,disagreement,42,False,True,False,none,0.7778,0.5089,0,44312,226.7,,none,self_train_M,,,,,,,
Electricity,config_5,1,disagreement,42,False,True,False,none,0.7485,0.4786,0,44312,185.1,,none,self_train_M,,,,,,,
AGR_g,config_5,5,disagreement,42,False,True,False,none,0.7472,0.7284,4,99000,278.9,,none,self_train_M,,,,,,,
AGR_g,config_5,1,disagreement,42,False,True,False,none,0.671,0.6027,3,99000,200.0,,none,self_train_M,,,,,,,
AGR_a,config_5,5,disagreement,42,False,True,False,none,0.7283,0.7283,6,99000,183.4,,none,self_train_M,,,,,,,
AGR_a,config_5,1,disagreement,42,False,True,False,none,0.6183,0.6043,0,99000,241.2,,none,self_train_M,,,,,,,
LED_a,config_5,5,disagreement,42,False,True,False,none,0.6333,0.6303,1,99000,422.6,,none,self_train_M,,,,,,,
LED_a,config_5,1,disagreement,42,False,True,False,none,0.5074,0.4941,0,99000,322.8,,none,self_train_M,,,,,,,
LED_g,config_5,5,disagreement,42,False,True,False,none,0.578,0.5754,5,99000,427.1,,none,self_train_M,,,,,,,
LED_g,config_5,1,disagreement,42,False,True,False,none,0.3733,0.3666,1,99000,335.1,,none,self_train_M,,,,,,,
RBF_m,config_5,5,disagreement,42,False,True,False,none,0.8254,0.808,6,99000,205.8,,none,self_train_M,,,,,,,
RBF_m,config_5,1,disagreement,42,False,True,False,none,0.7641,0.7437,4,99000,163.8,,none,self_train_M,,,,,,,
RBF_f,config_5,5,disagreement,42,False,True,False,none,0.7787,0.7581,3,99000,413.6,,none,self_train_M,,,,,,,
RBF_f,config_5,1,disagreement,42,False,True,False,none,0.752,0.7279,3,99000,321.1,,none,self_train_M,,,,,,,
airlines,config_5,5,disagreement,42,False,True,False,none,0.6387,0.587,6,538383,985.6,,none,self_train_M,,,,,,,
airlines,config_5,1,disagreement,42,False,True,False,none,0.5778,0.4325,0,538383,733.4,,none,self_train_M,,,,,,,
CovtFD,config_5,1,disagreement,42,False,True,False,none,0.6678,0.3794,2,580012,5051.2,,none,self_train_M,,,,,,,
CovtFD,config_5,5,disagreement,42,False,True,False,none,0.7795,0.614,27,580012,6617.8,,none,self_train_M,,,,,,,
Electricity,config_6,1,disagreement,42,False,True,False,none,0.7445,0.478,0,44312,194.0,,none,disagree_c,14159.0,9968.0,0.3463523796344788,0.9558608999759438,1166252.0,-0.0044421830408217,0.8242652985112617
Electricity,config_6,5,disagreement,42,False,True,False,none,0.7887,0.5175,0,44312,226.0,,none,disagree_c,15079.0,10314.0,0.3622113018536623,0.9592102284291704,1255627.0,0.0034964802802824,0.8381560538187067
Electricity,config_7,1,disagreement,42,False,True,False,none,0.7477,0.4787,0,44312,204.9,,none,train_C,1013429.0,43868.0,0.0,0.0,782696.0,,
Electricity,config_7,5,disagreement,42,False,True,False,none,0.779,0.5105,0,44312,253.0,,none,train_C,929293.0,42096.0,0.0,0.0,1034461.0,,
Electricity,config_8,1,disagreement,42,False,True,False,none,0.7434,0.4728,0,44312,194.9,,none,train_w,38389.0,19230.0,0.3215016796548543,0.96588896855622,1354055.0,0.0610106523111151,0.8805358607826138
Electricity,config_8,5,disagreement,42,False,True,False,none,0.7846,0.5143,0,44312,230.9,,none,train_w,39845.0,18288.0,0.3313405026085059,0.968469846954492,1394704.0,0.064186351990541,0.9025845389438454
Electricity,config_9,1,disagreement,42,False,True,False,sqrtAM,0.7512,0.7249,0,44312,231.6,,sqrtAM,train_C,1023510.0,43868.0,0.0,0.0,1632582.0,,
Electricity,config_9,5,disagreement,42,False,True,False,sqrtAM,0.7915,0.7794,0,44312,264.1,,sqrtAM,train_C,941702.0,42096.0,0.0,0.0,1703898.0,,
Electricity,config_10,1,disagreement,42,True,True,False,mmr,0.7516,0.7293,0,44312,236.3,,mmr,train_C,988646.0,43868.0,0.0,0.0,1553361.0,,
Electricity,config_10,5,disagreement,42,True,True,False,mmr,0.7976,0.7868,0,44312,270.0,,mmr,train_C,929759.0,42096.0,0.0,0.0,1607264.0,,
Electricity,config_11,1,disagreement,42,False,True,False,sqrtAM,0.755,0.7312,0,44312,207.2,,sqrtAM,train_w,38503.0,18716.0,0.3286491505181916,0.9664879061941448,1731708.0,0.0522638206697903,0.8803134563394619
Electricity,config_11,5,disagreement,42,False,True,False,sqrtAM,0.7972,0.7859,0,44312,231.6,,sqrtAM,train_w,42488.0,19368.0,0.3336067769372006,0.9696312277287268,1800350.0,0.0656529649631252,0.901731542695782
