dataset,config,label_pct,diversity_measure,seed,inference_mode,training_mode,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
Electricity,config_8,5,disagreement,43,none,train_w,False,True,False,none,0.7847,0.7724,0,44312,129.8,45651,18743,0.334895379183939,0.967634316036774,0.0614502581672914,0.8963656846097101,1225674
Electricity,config_8,1,disagreement,42,none,train_w,False,True,False,none,0.7498,0.4829,0,44312,116.2,38135,18785,0.3177901829006983,0.966579157667542,0.058803684727521,0.8868642831087857,1266423
Electricity,config_8,5,disagreement,44,none,train_w,False,True,False,none,0.7876,0.776,0,44312,152.6,45762,18871,0.3343685726075781,0.9661109151122046,0.0627278002254899,0.8961823974389632,1258930
Electricity,config_8,1,disagreement,43,none,train_w,False,True,False,none,0.7475,0.7173,0,44312,112.9,48109,19403,0.337202920779287,0.97036125253918,0.0719380146961449,0.8897999311209169,1221158
Electricity,config_8,1,disagreement,44,none,train_w,False,True,False,none,0.7403,0.476,0,44312,130.7,36229,16958,0.2987757316119952,0.9621305601000384,0.060744724742804,0.8722840610197149,1220069
Electricity,config_9,5,disagreement,42,sqrtAM,train_C,False,True,False,sqrtAM,0.7919,0.7795,0,44312,154.2,921371,42096,0.0,0.0,,,1658350
Electricity,config_9,5,disagreement,43,sqrtAM,train_C,False,True,False,sqrtAM,0.7906,0.7783,0,44312,162.0,938708,42096,0.0,0.0,,,1691903
Electricity,config_9,5,disagreement,44,sqrtAM,train_C,False,True,False,sqrtAM,0.7949,0.7841,0,44312,157.8,923837,42096,0.0,0.0,,,1652665
Electricity,config_9,1,disagreement,42,sqrtAM,train_C,False,True,False,sqrtAM,0.7564,0.7306,0,44312,133.8,993387,43868,0.0,0.0,,,1639140
Electricity,config_9,1,disagreement,43,sqrtAM,train_C,False,True,False,sqrtAM,0.7528,0.7263,0,44312,136.9,993577,43868,0.0,0.0,,,1704970
Electricity,config_9,1,disagreement,44,sqrtAM,train_C,False,True,False,sqrtAM,0.7528,0.728,0,44312,144.9,972220,43868,0.0,0.0,,,1447763
Electricity,config_10,5,disagreement,42,mmr,train_C,True,True,False,mmr,0.7976,0.787,0,44312,165.9,945487,42096,0.0,0.0,,,1666107
Electricity,config_10,5,disagreement,43,mmr,train_C,True,True,False,mmr,0.797,0.7869,0,44312,163.7,938996,42096,0.0,0.0,,,1667675
Electricity,config_10,1,disagreement,42,mmr,train_C,True,True,False,mmr,0.7564,0.7339,0,44312,141.2,968566,43868,0.0,0.0,,,1564866
Electricity,config_10,5,disagreement,44,mmr,train_C,True,True,False,mmr,0.7982,0.7883,0,44312,169.1,923250,42096,0.0,0.0,,,1623119
Electricity,config_10,1,disagreement,43,mmr,train_C,True,True,False,mmr,0.756,0.7344,0,44312,141.3,1021217,43868,0.0,0.0,,,1595798
Electricity,config_10,1,disagreement,44,mmr,train_C,True,True,False,mmr,0.7537,0.7352,0,44312,151.4,964105,43868,0.0,0.0,,,1393000
Electricity,config_11,5,disagreement,42,sqrtAM,train_w,False,True,False,sqrtAM,0.7958,0.7847,0,44312,140.5,43471,19275,0.3439373417685832,0.9694009183472392,0.0647200059182613,0.9012333780158074,1794833
Electricity,config_11,5,disagreement,43,sqrtAM,train_w,False,True,False,sqrtAM,0.7965,0.7861,0,44312,137.6,44073,19382,0.3288287436943516,0.9676785373738128,0.0562949719657959,0.8950484575968383,1769223
Electricity,config_11,1,disagreement,42,sqrtAM,train_w,False,True,False,sqrtAM,0.753,0.7306,0,44312,124.4,36680,18033,0.3207362134578042,0.9678621887462387,0.0612706535942436,0.8857853815828991,1783039
Electricity,config_11,5,disagreement,44,sqrtAM,train_w,False,True,False,sqrtAM,0.7972,0.7876,0,44312,152.0,44310,18171,0.322152870960972,0.9633643152082312,0.0594331273106058,0.8897595894436024,1716640
Electricity,config_11,1,disagreement,43,sqrtAM,train_w,False,True,False,sqrtAM,0.7515,0.7258,0,44312,123.9,40705,18768,0.3117074545404856,0.9639226209163207,0.0593585588063444,0.8795504729261607,1746431
Electricity,config_11,1,disagreement,44,sqrtAM,train_w,False,True,False,sqrtAM,0.7573,0.7383,0,44312,138.0,40098,17726,0.3355377090578302,0.9657246088029612,0.0581563012176387,0.869162570203817,1660723
Electricity,config_12,5,disagreement,42,mmr,train_w,True,True,False,mmr,0.801,0.7925,0,44312,145.3,41286,17825,0.3498065378752703,0.9705909937219536,0.0700992829609065,0.9037627907215524,1766663
Electricity,config_12,5,disagreement,43,mmr,train_w,True,True,False,mmr,0.8029,0.7941,0,44312,143.9,45222,18431,0.3327631713592606,0.9677213263452824,0.0645813733911925,0.8960940199630799,1692107
Electricity,config_12,5,disagreement,44,mmr,train_w,True,True,False,mmr,0.804,0.795,0,44312,149.9,46076,18881,0.3283876537663752,0.965521273827496,0.0637025776376332,0.8953986242560996,1700228
Electricity,config_12,1,disagreement,42,mmr,train_w,True,True,False,mmr,0.7546,0.7344,0,44312,128.7,35457,17619,0.3127805150971936,0.969953930849159,0.0755152862855852,0.8932444874760985,1749162
Electricity,config_12,1,disagreement,43,mmr,train_w,True,True,False,mmr,0.759,0.7401,0,44312,128.7,34800,17263,0.295511100826853,0.9602837720531996,0.0401991559419798,0.8649276937263646,1581479
