config,signal,dataset,label_pct,n,base_rate,spearman,pearson,roc_auc,aurc,aurc_opt,eaurc,risk_op,risk_at_05,risk_at_10,risk_at_20,cov_at_09
config_6,c,AGR_g,5,150000,0.7591933333333334,0.3600377741939864,0.3627918914063265,0.741941820873488,0.1068451720630364,0.03164980457315264,0.07519536748988376,0.027163415194929364,0.007377320954907174,0.007377320954907174,0.013418756948025542,0.25112
config_6,c,Electricity,5,150000,0.7887866666666666,0.31737508145942944,0.3219206807046455,0.7232524550641846,0.10875819983994144,0.02406629851849909,0.08469190132144234,0.09156882817670693,0.05065880039331372,0.05065880039331372,0.05464364068844734,0.4158733333333333
config_6,c,LED_a,5,150000,0.65378,0.379607280073633,0.37592048642863385,0.7300243745490144,0.19578006948862003,0.06837371494995376,0.12740635453866628,0.08023265199851287,0.0673320862415444,0.08506696111935434,0.1170368604220521,0.0705
config_6,c,LED_g,5,150000,0.61318,0.35624248627559385,0.34612612144939525,0.7108101423326952,0.23980149230493722,0.0869156558759192,0.152885836429018,0.09308579409054027,0.11211293384375054,0.13334730886846607,0.16301676374632307,0.029213333333333334
config_6,c,RBF_f,5,150000,0.77462,0.5757876956433995,0.5868854945481843,0.8971186857491358,0.05141039605738283,0.027555458769067093,0.02385493728831574,0.0002835519243640932,0.0,0.0,3.3555066101013157e-06,0.25188666666666665
config_6,c,RBF_m,5,150000,0.80946,0.525080816892359,0.5249619118187148,0.8855001221128943,0.04279280514902881,0.01942993403124521,0.023362871117783603,0.00021722881265891868,0.0,0.0,2.1731979912353408e-05,0.1907
config_6,c,airlines,5,150000,0.6123066666666667,0.14705522882029337,0.1469601565712503,0.5869327802025253,0.32124313330123905,0.08734342259575778,0.23389971070548127,0.2796027929615399,0.24892543449822468,0.25402620914697593,0.2736277314320548,0.20104
config_6,c,AGR_a,1,150000,0.6490866666666667,0.22849751361530343,0.24822183102852283,0.6375659980655713,0.23444893964394894,0.07038519491257278,0.16406374473137617,0.06705309889090091,0.044728562419226583,0.06907184409157369,0.1374686577641217,0.07168
config_6,c,AGR_g,1,150000,0.70632,0.30673237551025184,0.31589095091651437,0.6937422878951485,0.161582642995174,0.04810179840585571,0.11348084458931829,0.04773518352046468,0.017605633802816878,0.03196564449196966,0.05898806412174971,0.14550666666666667
config_6,c,Electricity,1,150000,0.7443333333333333,0.23573101681422243,0.23464626672337557,0.6553580672979855,0.17178869488800805,0.03589010559869052,0.13589858928931753,0.15077964243579536,0.11173551306378626,0.11319458347881564,0.13005595191135846,0.3489466666666667
config_6,c,LED_a,1,150000,0.5129466666666667,0.3651146730288395,0.36521249879033335,0.7104192762992961,0.3196398877257807,0.14461865213036418,0.17502123559541655,0.12826092104650244,0.11824701565573163,0.14313362277103733,0.21204498994530677,0.00878
config_6,c,LED_g,1,150000,0.47086666666666666,0.3356695610023552,0.33511888480790714,0.6936542316437827,0.3726728593857456,0.17448583104663162,0.198187028339114,0.13401891765486176,0.16743777026072015,0.2124012901917055,0.27835194566656013,0.012353333333333332
config_6,c,RBF_f,1,150000,0.7383333333333333,0.5336014041029856,0.5179115463703439,0.849997765783382,0.08053615602457981,0.03768595144873707,0.04285020457584274,0.0009985666082311688,0.0,1.7827923397703838e-05,0.0014794849951441523,0.14047333333333334
config_6,c,RBF_m,1,150000,0.74736,0.5337708873768682,0.5209320935776183,0.8541775942316885,0.07522461820890078,0.03500257819382846,0.04022204001507232,0.0007523170171475811,0.0,4.347246292757504e-05,0.0009865804877493276,0.13906666666666667
config_6,c,airlines,1,150000,0.58668,0.14244362087133863,0.1403725056713125,0.5832886544800564,0.3470579954903746,0.1004577814625302,0.24660021402784438,0.29990742043476565,0.2720672363339434,0.28286666479067923,0.2991993166666596,0.16269333333333333
config_13,A,AGR_a,5,150000,0.6254066666666667,0.1334731469231298,0.1250971474043187,0.5794053338393419,0.3097616307979449,0.08105672918572537,0.2287049016122195,0.2611127644164141,0.23212581434914314,0.23212581434914314,0.24416666666666664,0.21671333333333334
config_13,A,AGR_g,5,150000,0.67866,0.27009884887421276,0.24526738188128827,0.6651451005118975,0.20846004542089902,0.058267621934363634,0.1501924234865354,0.1564627720366589,0.12108574596822796,0.12108574596822796,0.12108574596822796,0.3268666666666667
config_13,A,Electricity,5,150000,0.6914066666666666,0.22337015263563803,0.22553102849003995,0.6387715042601169,0.22784775260450169,0.0534455298037555,0.1744022228007462,0.19521698886656752,0.18704403621341303,0.18704403621341303,0.18704403621341303,0.30733333333333335
config_13,A,LED_a,5,150000,0.45878,0.1825780142568976,0.18061515152071603,0.6057715087520623,0.4623673618450249,0.18374574121188914,0.2786216206331358,0.3926268642632781,0.38106666666666666,0.39680000000000004,0.4173,0.08848
config_13,A,LED_g,5,150000,0.40641333333333335,0.21300734709454922,0.21036065853049918,0.6251923864389348,0.4999582778331324,0.22765837031707709,0.2722999075160553,0.4024332522225384,0.39039999999999997,0.4126666666666666,0.44710000000000005,0.07471333333333334
config_13,A,RBF_f,5,150000,0.6387,0.10886727992473906,0.11558888234290281,0.5654220743413427,0.3255777971931012,0.07495774875859906,0.25062004843450214,0.3371334609412185,0.3277333333333333,0.3134,0.3066333333333333,0.08736666666666666
config_13,A,RBF_m,5,150000,0.6670466666666667,0.10820575159530514,0.11715205304541212,0.5662811340158699,0.2987121483226029,0.06286929279957149,0.2358428555230314,0.3040127333247581,0.30200000000000005,0.2815333333333333,0.28036666666666665,0.11775333333333333
config_13,A,airlines,5,150000,0.5950133333333333,0.03544178838286428,0.035291981089711086,0.5207603635091259,0.38958741134077934,0.09607272286969104,0.2935146884710883,0.37852669215466894,0.37587412587412583,0.37587412587412583,0.37716875370903785,0.15445333333333333
config_13,A,AGR_a,1,150000,0.56926,0.11978075193988862,0.11449990730003547,0.5697947343787271,0.36079497826953943,0.1100086652107985,0.25078631305874094,0.2807959332203075,0.22059631766968946,0.2263486596915311,0.30158333202814813,0.16428666666666666
config_13,A,AGR_g,1,150000,0.61608,0.19181295833086787,0.18529201860490388,0.6137913418316916,0.2885489750161999,0.08550412221299619,0.20304485280320372,0.19957814497987436,0.15120119147833966,0.15120119147833966,0.21286666666666665,0.17575333333333334
config_13,A,Electricity,1,150000,0.64632,0.16670871213540422,0.16673683293749642,0.6005325312990376,0.2883416535922476,0.07158682261691879,0.21675483097532883,0.25193083880601636,0.24602742438493141,0.24602742438493141,0.24946666666666661,0.20709333333333332
config_13,A,LED_a,1,150000,0.3428866666666667,0.18041113929261296,0.18044918902140847,0.6097178496933836,0.5748898407318701,0.290102770893726,0.2847870698381441,0.4476273288290786,0.46173333333333333,0.49073333333333335,0.5247666666666666,0.040433333333333335
config_13,A,LED_g,1,150000,0.2792866666666667,0.20075078700138493,0.208086633307722,0.6291695818892957,0.6291039581130868,0.3644785690445481,0.2646253890685387,0.4578009837377081,0.49039999999999995,0.522,0.5690666666666666,0.028986666666666668
config_13,A,RBF_f,1,150000,0.5844066666666666,0.10853467671030032,0.11373480486430626,0.5635749499611193,0.37963938331517094,0.10167450519005655,0.2779648781251144,0.4014549346491768,0.3821333333333333,0.3676666666666667,0.3601,0.06136
config_13,A,RBF_m,1,150000,0.5980133333333333,0.11464129984031741,0.12154257969783719,0.5674977382942225,0.3621066734460013,0.09452275865280191,0.2675839147931994,0.35886919613870927,0.3456,0.34273333333333333,0.3446666666666667,0.07886
config_13,A,airlines,1,150000,0.57696,0.04793216589358983,0.04839718793955984,0.527978646681007,0.40252476645598345,0.10572218970949315,0.2968025767464903,0.3880892589998946,0.3815347399543072,0.38083334190000034,0.39846666666666664,0.13598
config_7,C,AGR_a,5,150000,0.6236933333333333,0.21913716338261766,0.21004594158792242,0.6304131251163988,0.26638008815970926,0.08186323665206363,0.18451685150764563,0.1679548331837126,0.0845338407175863,0.11506666666666665,0.18269999999999997,0.18162666666666666
config_7,C,AGR_g,5,150000,0.6761333333333334,0.3261201790531654,0.30356248041203815,0.7002164972702569,0.17823375428905847,0.0592517556677733,0.11898199862128517,0.09010869303099193,0.03894519201437141,0.03894519201437141,0.04239999999999999,0.28869333333333336
config_7,C,Electricity,5,150000,0.7037666666666667,0.3580636701484363,0.3907234892816497,0.726358432514894,0.169754997169397,0.048994179619365,0.12076081755003198,0.11213714604189666,0.09653333333333336,0.09166666666666667,0.11150000000000004,0.19365333333333334
config_7,C,LED_a,5,150000,0.46270666666666666,0.3083462446137148,0.30442970465990776,0.6784984389111293,0.4091010138982541,0.18070289975936227,0.22839811413889183,0.3289559447602116,0.3097333333333333,0.31020000000000003,0.3331666666666667,0.02004
config_7,C,LED_g,5,150000,0.4336,0.29949808548666884,0.29745948640952513,0.6744285005041081,0.4369005018617077,0.2040696054077346,0.2328308964539731,0.33247986988055295,0.32266666666666666,0.3202666666666667,0.349,0.021333333333333333
