dataset,seed,label_pct,detector,delta,DA,MTD,FA,TP,FN,precision,recall,F1,best_delta,score
LED_g,42,1,meta_acc_mlhat_1,0.0001,0.5714285714285714,3185.0,14,4,3,0.2222222222222222,0.5714285714285714,0.32,0.0001,0.5896091607483448
LED_g,42,1,meta_acc_br_1,0.001,0.7142857142857143,1175.8,6,5,2,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.001,0.8039541821038441
LED_g,42,1,meta_dis_mlhat_1,0.0001,0.8571428571428571,2313.6666666666665,17,6,1,0.2608695652173913,0.8571428571428571,0.4,0.0001,0.7513159729225718
LED_g,42,1,meta_dis_br_1,0.0001,0.5714285714285714,1193.0,4,4,3,0.5,0.5714285714285714,0.5333333333333333,0.0001,0.7450920568866619
LED_g,42,5,sup_5,0.3,0.14285714285714285,880.0,6,1,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3,0.5314285714285714
LED_g,42,5,plain_dis_5,0.002,0.7142857142857143,2551.8,0,5,2,1.0,0.7142857142857143,0.8333333333333333,0.002,0.7826032123483264
LED_g,42,5,studd_mlhat_5,0.001,0.8571428571428571,969.6666666666666,2,6,1,0.75,0.8571428571428571,0.7999999999999999,0.001,0.911240175939589
LED_g,42,5,studd_br_5,0.3,0.8571428571428571,1423.0,1,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.3,0.8976943138108331
LED_g,42,5,meta_acc_mlhat_5,0.0001,0.8571428571428571,3592.3333333333335,45,6,1,0.11764705882352941,0.8571428571428571,0.2068965517241379,0.0001,0.5076380853299929
LED_g,42,5,meta_acc_br_5,0.01,0.42857142857142855,2523.0,29,3,4,0.09375,0.42857142857142855,0.15384615384615383,0.01,0.44769682622250057
LED_g,42,5,meta_dis_mlhat_5,0.0001,0.42857142857142855,5365.666666666667,34,3,4,0.08108108108108109,0.42857142857142855,0.13636363636363638,0.0001,0.2876190476190476
LED_g,42,5,meta_dis_br_5,0.001,0.42857142857142855,899.0,14,3,4,0.17647058823529413,0.42857142857142855,0.25,0.001,0.6201052382013964
